near_earth,potentially_hazardous,absolute_magnitude_parameter,epoch,eccentricity,semi_major_axis,perihelion_distance,inclination,om,w,ma,ad,n,tp,per,per_y,moid_ld,sigma_i,sigma_w,class,rms
N,N,17.1,2459000.5,0.2082586483980302,3.104321041221081,2.457819336982813,2.387422328005669,291.7227391350907,37.79114052663653,11.33475241524459,3.75082274545935,0.1801997279731332,2458937.5989482463,1997.783259992902,5.4696324708909,563.2535244,1.0236e-05,0.0001457,MBA,0.45031
N,N,17.5,2459000.5,0.202012706889519,2.25795030715751,1.801815653586601,10.06804973016765,298.8675496796164,35.34176291963849,74.82717026007052,2.71408496072842,0.290490881365632,2458742.9112939164,1239.281585389522,3.39296806403702,311.55198935,8.7558e-06,3.5586e-05,MBA,0.62721
N,N,18.8,2459000.5,0.1474755717854695,2.341861696850007,1.996494304064562,2.420298920634677,183.610233066737,155.8813226338407,89.98735031763037,2.687229089635451,0.2750186898367202,2458673.295509385,1309.00194533591,3.58385200639537,384.5077434,2.0739e-05,0.00019848,MBA,0.59751
N,N,17.2,2459000.5,0.09174081788145536,2.971329124227952,2.698736960176291,4.603940847988025,4.196613394415735,204.7249307595372,309.2038308383873,3.243921288279612,0.1924322838176672,2459264.4690604606,1870.787961655676,5.12193829337625,659.5380741,4.5059e-05,0.0051304,MBA,0.58674
N,N,17.2,2459000.5,0.2388474400522983,3.068781661810508,2.33581101780763,2.908256459406473,48.00614558178266,333.2789773245646,85.58116602510233,3.801752305813385,0.1833390972095599,2458533.708315478,1963.574630175654,5.37597434681904,521.2114893,8.7039e-06,0.00020978,MBA,0.5523
N,N,18.8,2459000.5,0.09467659103814584,2.338250500470429,2.11687291409265,4.869270220892099,201.8094060177451,185.6257019722912,265.9307152351271,2.559628086848207,0.275656044465096,2459341.7560205143,1305.975353083845,3.57556564841573,436.3179455,0.00042979,0.016404,MBA,0.70967
N,N,14.2,2459000.5,0.2079498105722745,3.168280286949005,2.509437001438088,9.534461199367598,12.72714751652735,344.0527372163968,65.09729719136251,3.827123572459922,0.1747707223140166,2458628.0274466486,2059.841575485255,5.63953887880973,586.6270746,6.5655e-06,2.856e-05,MBA,0.54372
N,N,19.1,2459000.5,0.2785860195772523,2.288353072731858,1.650849898812115,6.038710852596759,55.25091169038025,332.6645093191937,26.84970824462337,2.9258562466516,0.2847210156731126,2458906.198186061,1264.39560195063,3.4617264940469,256.42956138,5.363e-05,0.0011879,MCA,0.44954
N,N,17.74,2459000.5,0.1177891530612647,2.983740679224207,2.632288391663945,9.002729772484948,242.6908027036846,106.5509617604749,84.33660850776306,3.335192966784469,0.1912328338749843,2458559.4846848007,1882.521911667872,5.15406409765331,640.0640073,0.00010027,0.011629,MBA,0.48326
N,N,17.6,2459000.5,0.1540577954763457,2.546478652224275,2.154173764835027,5.401833399264953,170.833663587478,348.0793605524541,94.71404710774438,2.938783539613523,0.2425459427822025,2458610.0005918406,1484.254883303766,4.06366840055788,452.7331361,1.3833e-05,0.00011399,MBA,0.61371
N,N,15.7,2459000.5,0.2633700771094765,2.649742512624896,1.951879622754619,12.26778653680111,198.8767545620346,97.77234809226636,340.1227548509494,3.347605402495172,0.2285065026797784,2459087.4876564383,1575.447507086887,4.31334019736314,382.25483827,8.9115e-06,2.9734e-05,MBA,0.55795
N,N,15.4,2459000.5,0.06920086071037834,3.224082811090194,3.000973505561216,21.49114347524313,30.34288098847667,299.5272796806216,257.0200189535901,3.447192116619172,0.1702530071790805,2459605.3643883164,2114.500095856365,5.78918575183125,797.6155901,1.6387e-05,0.00010676,OMB,0.49968
